"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
17846085591639030,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"プライオリティパスについての人気投稿はこちらです💁‍♀️ 旅のお供に
プライオリティパスが
あると助かることも多い😊",15,"01/09/2026 22:50",https://www.instagram.com/stories/ino_moneycoach/3806815754403376809,"IG story",,Lifetime,3393,2504,9,0,16,0,2999,,,
18031819013572058,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,今日は,0,"01/09/2026 22:47",https://www.instagram.com/stories/ino_moneycoach/3806814250007168088,"IG story",,Lifetime,3443,2685,9,0,13,1,2983,,,1
18117945427602763,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,✉️は毎週土曜日,0,"01/09/2026 16:01",https://www.instagram.com/stories/ino_moneycoach/3806609823681916202,"IG story",,Lifetime,3323,2424,10,0,11,0,2881,55,,
17847952359662402,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/09/2026 16:01",https://www.instagram.com/stories/ino_moneycoach/3806609822809483510,"IG story",,Lifetime,3390,2577,8,0,10,0,2960,,,1
18100897192827035,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"いつも超有益情報をありがとうございます🙇‍♀️🙏🫡 さて、JAL、ANA
どっちにしよか😂",0,"01/09/2026 14:46",https://www.instagram.com/stories/ino_moneycoach/3806572434414628743,"IG story",,Lifetime,3588,2696,6,0,14,0,2902,,169,
18085868765321268,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"いつもよく聞かれる
JALカードとANAカード
どちらが良いですか？？ どっちのカードが自分に合いそうか、少しでもお役に立てると嬉しいです🙇‍♀️ 最近毎日のように質問を
いただくので投稿に
してみました✨",15,"01/09/2026 04:02",https://www.instagram.com/stories/ino_moneycoach/3806248014730891174,"IG story",,Lifetime,2945,2149,4,0,36,1,2570,,,
18087907625237724,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063273884966254,"IG story",,Lifetime,3118,2467,3,0,9,0,2401,13,,
18067570697390511,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063271745863071,"IG story",,Lifetime,3179,2497,3,0,2,0,2530,,,
18118360414583681,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,片道の必要マイル数,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063269598341735,"IG story",,Lifetime,3301,2559,3,0,1,1,2563,,,
18299344087278584,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063272702142878,"IG story",,Lifetime,3376,2648,4,0,5,2,2578,23,,
18095592547905405,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063269724195471,"IG story",,Lifetime,3491,2734,4,0,7,0,2677,,,
17848080465657700,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 21:55",https://www.instagram.com/stories/ino_moneycoach/3806063271049588866,"IG story",,Lifetime,3787,2892,5,0,8,0,2774,,,
18015497960638858,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 20:56",https://www.instagram.com/stories/ino_moneycoach/3806033747503137280,"IG story",,Lifetime,3341,2577,6,0,26,0,3001,,,1
18071519660119570,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 15:43",https://www.instagram.com/stories/ino_moneycoach/3805876074128228515,"IG story",,Lifetime,4274,2827,4,0,10,3,3726,,,
18088577693291142,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/08/2026 15:43",https://www.instagram.com/stories/ino_moneycoach/3805876073641687687,"IG story",,Lifetime,4612,3269,6,1,32,1,3693,,,2
18154828942422616,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/07/2026 22:36",https://www.instagram.com/stories/ino_moneycoach/3805359319282773999,"IG story",,Lifetime,3645,2921,11,0,45,2,3349,,,
18556906855004435,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/07/2026 22:36",https://www.instagram.com/stories/ino_moneycoach/3805359319870003599,"IG story",,Lifetime,3830,2980,5,0,2,0,3457,,,
17911343553277177,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/07/2026 22:36",https://www.instagram.com/stories/ino_moneycoach/3805359316229345712,"IG story",,Lifetime,4027,3094,8,0,13,0,3407,,,
18091241885311409,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,間違えて違うカード作る人もいるので気をつけてね,0,"01/07/2026 17:09",https://www.instagram.com/stories/ino_moneycoach/3805194497824060994,"IG story",,Lifetime,4314,3255,5,0,11,1,3173,21,,
17993199689860344,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,モッピーで👇を探して申し込んでね,0,"01/07/2026 17:09",https://www.instagram.com/stories/ino_moneycoach/3805194493017376282,"IG story",,Lifetime,4351,3350,5,0,,0,3401,1,,
